--- EASE --- 
PREC@1 0.242408
RECALL@1 0.056612
NDCG@1 0.242408
MAP@1 0.242408
MAP 0.301624
PREC@3 0.165221
RECALL@3 0.111687
NDCG@3 0.356738
MAP@3 0.300931
PREC@5 0.135683
RECALL@5 0.150596
NDCG@5 0.38185
MAP@5 0.309966
PREC@10 0.097831
RECALL@10 0.213701
NDCG@10 0.392928
MAP@10 0.301624
AGG_DIV@1 137
GINI@1 0.9967510838007178
ENTROPY@1 1.641802815846672
COVERAGE@1 0.012375790424570913
AGG_DIV@3 260
GINI@3 0.9947219886586007
ENTROPY@3 1.8669786608595937
COVERAGE@3 0.023486901535682024
AGG_DIV@5 372
GINI@5 0.9930418925254779
ENTROPY@5 1.988630606265884
COVERAGE@5 0.03360433604336043
AGG_DIV@10 609
GINI@10 0.9895797213864294
ENTROPY@10 2.16705222460967
COVERAGE@10 0.055013550135501355
