--- EASE --- 
PREC@1 0.352349
RECALL@1 0.040118
NDCG@1 0.352349
MAP@1 0.352349
MAP 0.410059
PREC@3 0.285794
RECALL@3 0.089586
NDCG@3 0.510294
MAP@3 0.433865
PREC@5 0.255705
RECALL@5 0.13081
NDCG@5 0.520432
MAP@5 0.43351
PREC@10 0.204362
RECALL@10 0.202595
NDCG@10 0.516729
MAP@10 0.410059
AGG_DIV@1 118
GINI@1 0.9946170258717711
ENTROPY@1 1.782794470631138
COVERAGE@1 0.012856831553715406
AGG_DIV@3 233
GINI@3 0.9915383817287339
ENTROPY@3 1.9846402715315405
COVERAGE@3 0.02538679450860754
AGG_DIV@5 305
GINI@5 0.9894818576777411
ENTROPY@5 2.086967814902841
COVERAGE@5 0.03323164088036609
AGG_DIV@10 458
GINI@10 0.9852888913226183
ENTROPY@10 2.2420187243211753
COVERAGE@10 0.049901939420353016
