movieId,title,uri
1,Toy Story (1995),http://dbpedia.org/resource/Toy_Story
2,Jumanji (1995),http://dbpedia.org/resource/Jumanji
3,Grumpier Old Men (1995),http://dbpedia.org/resource/Grumpier_Old_Men
4,Waiting to Exhale (1995),http://dbpedia.org/resource/Waiting_to_Exhale
5,Father of the Bride Part II (1995),http://dbpedia.org/resource/Father_of_the_Bride_Part_II
6,Heat (1995),http://dbpedia.org/resource/Heat_Wave_(1935_film)
7,Sabrina (1995),"http://dbpedia.org/resource/Sabrina,_Down_Under"
8,Tom and Huck (1995),http://dbpedia.org/resource/Tom_and_Huck
9,Sudden Death (1995),http://dbpedia.org/resource/Sudden_Death_(1977_film)
10,GoldenEye (1995),http://dbpedia.org/resource/GoldenEye
11,"American President, The (1995)",http://dbpedia.org/resource/The_American_President
12,Dracula: Dead and Loving It (1995),http://dbpedia.org/resource/Dracula:_Dead_and_Loving_It
13,Balto (1995),http://dbpedia.org/resource/Balto_(film)
14,Nixon (1995),http://dbpedia.org/resource/Nixon_(film)
15,Cutthroat Island (1995),http://dbpedia.org/resource/Cutthroat_Island
16,Casino (1995),http://dbpedia.org/resource/Casino_(1995_film)
17,Sense and Sensibility (1995),http://dbpedia.org/resource/Sense_and_Sensibility_(film)
18,Four Rooms (1995),http://dbpedia.org/resource/Four_Rooms
19,Ace Ventura: When Nature Calls (1995),http://dbpedia.org/resource/Ace_Ventura:_When_Nature_Calls
20,Money Train (1995),http://dbpedia.org/resource/Money_Train
21,Get Shorty (1995),http://dbpedia.org/resource/Get_Shorty_(film)
22,Copycat (1995),http://dbpedia.org/resource/Copycat_(film)
23,Assassins (1995),http://dbpedia.org/resource/Assassins_(film)
24,Powder (1995),http://dbpedia.org/resource/Powder_My_Back
25,Leaving Las Vegas (1995),http://dbpedia.org/resource/Leaving_Las_Vegas
26,Othello (1995),http://dbpedia.org/resource/Othello_(1922_film)
27,Now and Then (1995),http://dbpedia.org/resource/Now_and_Then_(film)
28,Persuasion (1995),http://dbpedia.org/resource/Persuasion_(1995_film)
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",http://dbpedia.org/resource/The_City_of_Lost_Children
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),http://dbpedia.org/resource/Shanghai_Triad
31,Dangerous Minds (1995),http://dbpedia.org/resource/Dangerous_Minds
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),http://dbpedia.org/resource/12_Monkeys
34,Babe (1995),http://dbpedia.org/resource/Babe_(film)
36,Dead Man Walking (1995),http://dbpedia.org/resource/Dead_Man_Walking_(film)
38,It Takes Two (1995),http://dbpedia.org/resource/It_Takes_Two_(1982_film)
39,Clueless (1995),http://dbpedia.org/resource/Clueless
40,"Cry, the Beloved Country (1995)","http://dbpedia.org/resource/Cry,_the_Beloved_Country_(1995_film)"
41,Richard III (1995),http://dbpedia.org/resource/Richard_III_(1912_film)
42,Dead Presidents (1995),http://dbpedia.org/resource/Dead_Presidents
43,Restoration (1995),http://dbpedia.org/resource/Restoration_(1995_film)
44,Mortal Kombat (1995),http://dbpedia.org/resource/Mortal_Kombat_(film)
45,To Die For (1995),http://dbpedia.org/resource/To_Die_for_Tano
46,How to Make an American Quilt (1995),http://dbpedia.org/resource/How_to_Make_an_American_Quilt
47,Seven (a.k.a. Se7en) (1995),http://dbpedia.org/resource/Seven_Hills_of_Rome_(film)
48,Pocahontas (1995),http://dbpedia.org/resource/Pocahontas:_The_Legend
49,When Night Is Falling (1995),http://dbpedia.org/resource/When_Night_Is_Falling
50,"Usual Suspects, The (1995)",http://dbpedia.org/resource/The_Usual_Suspects
52,Mighty Aphrodite (1995),http://dbpedia.org/resource/Mighty_Aphrodite
53,Lamerica (1994),http://dbpedia.org/resource/Lamerica
54,"Big Green, The (1995)",http://dbpedia.org/resource/The_Big_Green
55,Georgia (1995),http://dbpedia.org/resource/Georgia_(1995_film)
57,Home for the Holidays (1995),http://dbpedia.org/resource/Home_for_the_Holidays_(1995_film)
58,"Postman, The (Postino, Il) (1994)",http://dbpedia.org/resource/The_Postman's_White_Nights
60,"Indian in the Cupboard, The (1995)",http://dbpedia.org/resource/The_Indian_in_the_Cupboard_(film)
61,Eye for an Eye (1996),http://dbpedia.org/resource/Eye_for_an_Eye_(1996_film)
62,Mr. Holland's Opus (1995),http://dbpedia.org/resource/Mr._Holland's_Opus
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),http://dbpedia.org/resource/Don't_Be_a_Menace_to_South_Central_While_Drinking_Your_Juice_in_the_Hood
