id,uri,valid
1,Q853545,1
2,Q703936,1
3,Q160111,1
4,Q163604,1
5,Q2290242,1
6,Q914074,1
7,Q186327,1
8,Q379852,1
9,Q266782,1
10,Q1545680,1
11,Q395327,1
12,Q272260,1
13,Q1431398,1
15,Q58207,1
16,Q654778,1
17,Q1807574,1
18,Q1927889,1
19,Q596117,1
20,Q124720,1
22,Q1507027,1
23,Q1143750,1
24,Q1401828,1
25,Q487479,1
26,Q3514895,1
27,Q325359,1
28,Q152761,1
30,Q91533,1
31,Q460499,1
32,Q640503,1
34,Q1656463,1
36,Q6575570,1
37,Q665745,1
38,Q4037070,1
39,Q545686,1
40,Q941421,1
41,Q4039540,1
43,Q323821,1
44,Q697508,1
45,Q609782,1
46,Q7315,1
47,Q264029,1
48,Q567714,1
49,Q7301420,1
50,Q1422104,1
51,Q58381,1
52,Q749019,1
53,Q4697699,0
53,Q4697705,0
53,Q406704,0
54,Q952337,1
55,Q11998,1
56,Q185828,1
57,Q546930,1
58,Q606250,1
59,Q1900371,1
60,Q1758107,1
61,Q595705,1
62,Q1506813,1
63,Q485512,0
63,Q5378915,0
63,Q18416439,0
65,Q45188,1
66,Q542071,1
67,Q1744,1
68,Q617671,1
69,Q658182,1
70,Q14045,1
71,Q202550,1
72,Q482964,1
74,Q444573,1
75,Q694873,1
76,Q624661,1
77,Q130311,1
78,Q1473420,1
79,Q664789,1
80,Q117522,1
81,Q191352,1
82,Q452166,1
83,Q1105240,1
84,Q573168,1
85,Q16011,1
86,Q156322,1
87,Q1180767,1
88,Q189991,1
89,Q19848,1
90,Q285472,1
91,Q453812,1
92,Q7936980,1
93,Q104326,1
94,Q97624508,1
95,Q339430,1
96,Q106648,1
97,Q192587,1
98,Q174933,1
99,Q489801,1
100,Q287078,1
103,Q714325,1
104,Q5057807,1
107,Q552245,1
113,Q770687,1
121,Q18720103,1
126,Q703201,1
129,Q47509236,1
139,Q3934875,1
140,Q38276244,1
141,Q403873,1
148,Q15053461,1
151,Q1133600,1
152,Q213923,1
153,Q1714531,1
154,Q44190,1
155,Q47875,1
156,Q1552833,1
157,Q6838250,1
159,Q484427,1
161,Q47122,1
162,Q1118535,1
163,Q2306,1
165,Q925481,1
166,Q483810,1
167,Q464109,1
170,Q1416418,1
171,Q28963,1
172,Q485673,1
173,Q484839,1
174,Q548994,1
175,Q903496,1
176,Q124147,1
177,Q2267644,1
178,Q541599,1
179,Q331748,1
180,Q173790,1
181,Q750593,1
182,Q484311,1
183,Q202041,1
184,Q130799,1
185,Q101592,1
186,Q880812,1
187,Q156305,1
188,Q11811945,1
189,Q725517,1
190,Q22151,1
191,Q1438730,1
192,Q2808,1
193,Q269091,1
194,Q724783,1
195,Q915714,1
196,Q692668,1
197,Q184805,1
198,Q45165,1
199,Q58608,1
200,Q46644,1
202,Q756704,1
203,Q485820,1
204,Q311964,1
205,Q503783,1
206,Q11901,1
207,Q170599,1
208,Q797992,1
209,Q483285,1
210,Q205838,1
211,Q930112,1
212,Q392,1
213,Q1666,1
214,Q1179673,1
215,Q215855,1
216,Q1481379,1
217,Q16414,1
218,Q1888514,1
219,Q201514,1
220,Q10708,1
221,Q160103,1
222,Q431355,1
223,Q806235,1
225,Q331790,1
226,Q1243718,1
227,Q1299,1
228,Q192486,1
229,Q220730,1
230,Q47871,1
231,Q223443,1
232,Q843228,1
233,Q3251694,1
234,Q11649,1
235,Q11904,1
236,Q684537,1
237,Q188668,1
238,Q357418,1
239,Q233229,1
240,Q3081809,1
241,Q155412,1
242,Q10272040,1
243,Q7705984,1
245,Q2525354,1
246,Q217087,1
247,Q1378643,1
248,Q1382233,1
249,Q286022,1
250,Q409,1
251,Q34389,1
252,Q271874,1
253,Q482907,1
254,Q1638859,1
255,Q20660772,1
256,Q2437762,1
257,Q41076,1
258,Q131814,1
259,Q277512,1
260,Q3937955,1
261,Q51960,1
262,Q228909,1
263,Q232592,1
264,Q266080,1
265,Q5105,1
266,Q223875,1
267,Q194220,1
268,Q311256,1
269,Q1260713,1
270,Q235980,1
271,Q38875,1
272,Q236318,1
273,Q354887,1
275,Q241660,1
276,Q844524,1
277,Q736274,1
278,Q6107,1
279,Q690974,1
280,Q3470592,1
281,Q5245894,1
282,Q894495,1
283,Q1131864,1
284,Q905438,1
285,Q131324,1
286,Q273049,1
287,Q231487,1
288,Q36844,1
289,Q11975,1
290,Q215300,1
291,Q483507,1
292,Q41594,1
293,Q213521,1
294,Q183519,1
295,Q36153,1
296,Q193697,1
297,Q310580,1
298,Q58735,1
299,Q40715,1
300,Q42493,1
301,Q121507,1
302,Q160009,1
303,Q277551,1
304,Q214831,1
305,Q229282,1
306,Q134541,1
307,Q233946,1
308,Q230514,1
309,Q1060468,1
310,Q80424,1
311,Q212906,1
312,Q72832,1
313,Q236523,1
314,Q203223,1
315,Q380799,1
316,Q130742,1
317,Q152453,1
318,Q122020,1
320,Q180004,1
321,Q134233,1
322,Q161877,1
323,Q756220,1
324,Q524822,1
325,Q127471,1
326,Q215219,1
327,Q5105997,1
328,Q8298,1
329,Q43432,1
330,Q214227,1
331,Q15935,1
332,Q184249,1
333,Q30449,1
334,Q155123,1
335,Q2026621,1
336,Q66751,1
337,Q556024,1
338,Q822393,1
339,Q71566,1
340,Q12003,1
341,Q77807,1
342,Q228860,1
343,Q153538,1
344,Q26876,1
345,Q465160,1
346,Q64177448,1
347,Q73623,1
348,Q157079,1
349,Q102385,1
350,Q30773,1
351,Q242685,1
353,Q784453,1
354,Q63664,1
355,Q192515,1
356,Q39639,1
357,Q7000,1
358,Q1231783,1
359,Q288258,1
360,Q131433,1
364,Q1200415,1
365,Q78518,1
366,Q297097,1
367,Q4905010,1
369,Q222760,1
370,Q515273,1
371,Q374747,1
373,Q429046,1
376,Q862588,1
377,Q261,1
378,Q1777698,1
380,Q735023,1
381,Q483172,1
382,Q999313,1
383,Q201669,1
384,Q3247658,1
385,Q187553,1
386,Q858880,1
387,Q487262,0
387,Q1675586,0
389,Q38257,1
390,Q44606,1
391,Q1519088,1
393,Q239693,1
395,Q374160,0
395,Q12328583,0
396,Q218866,1
400,Q171885,1
401,Q2554593,1
403,Q214237,1
405,Q485679,1
406,Q306122,1
407,Q315850,1
408,Q641255,1
409,Q495577,1
410,Q495577,1
412,Q482477,1
414,Q2552212,1
415,Q878232,1
416,Q1142566,1
417,Q5169918,1
418,Q483828,1
419,Q304130,1
420,Q959681,1
421,Q6950292,1
422,Q10331617,1
423,Q810695,1
424,Q211583,1
425,Q641858,1
426,Q389689,1
427,Q1146764,1
428,Q214350,1
429,Q180598,1
430,Q237548,1
431,Q607581,1
432,Q840882,1
433,Q616642,1
434,Q1155915,1
435,Q2905411,1
436,Q184217,1
437,Q7492033,1
439,Q1428929,1
440,Q547272,1
441,Q172763,1
442,Q554657,1
443,Q1762436,1
444,Q306130,1
445,Q357340,1
446,Q3928454,1
447,Q207898,1
448,Q705434,1
449,Q3396185,1
450,Q782916,1
451,Q2613632,1
452,Q9659,1
453,Q157327,1
454,Q315650,1
455,Q17140,1
456,Q191842,1
457,Q301818,1
458,Q34086,1
459,Q154454,1
460,Q2026639,1
461,Q4235,1
462,Q1426945,1
463,Q493710,1
464,Q229496,1
465,Q168992,1
466,Q33605,1
467,Q527055,1
468,Q165911,1
469,Q214466,1
470,Q456190,1
471,Q864991,1
472,Q175097,1
473,Q3762041,1
474,Q154222,1
475,Q5608,1
476,Q380799,1
477,Q254840,1
479,Q151241,1
481,Q485825,1
482,Q472891,1
484,Q193710,1
485,Q294979,1
486,Q40585,1
487,Q833283,1
488,Q486825,1
489,Q240767,1
490,Q461448,1
491,Q493729,1
492,Q916973,1
493,Q18852,1
494,Q2203966,1
495,Q7785612,1
496,Q1107761,1
497,Q254371,1
498,Q473466,1
499,Q5463625,1
500,Q485385,1
501,Q537254,1
502,Q77265,1
503,Q258546,1
504,Q23479,1
505,Q5276002,1
506,Q487396,1
507,Q664871,1
508,Q926397,1
509,Q2005871,1
510,Q494743,1
511,Q396,1
512,Q485039,1
514,Q866410,1
515,Q1095015,1
516,Q1053021,1
517,Q80304,1
518,Q57138,1
519,Q491892,1
520,Q631226,1
521,Q507833,1
522,Q625529,1
523,Q44903,1
524,Q370864,1
525,Q483379,1
526,Q200002,1
527,Q15615,1
528,Q207177,1
529,Q77034,1
530,Q661103,1
531,Q313370,1
532,Q178943,1
533,Q382890,1
534,Q43259,1
535,Q216899,1
536,Q485220,1
537,Q847970,1
538,Q182223,1
539,Q12831,1
540,Q485811,1
541,Q463207,1
542,Q462102,1
543,Q167696,1
544,Q190231,1
545,Q213538,1
546,Q219939,1
547,Q299138,1
548,Q31164,1
549,Q904921,1
550,Q847191,1
552,Q1424584,1
554,Q188713,1
555,Q106928110,1
556,Q12711512,1
557,Q83626,1
558,Q18246484,1
559,Q7569854,1
561,Q7771729,1
562,Q93346,1
563,Q222628,1
564,Q206466,1
565,Q44780,1
566,Q181483,1
567,Q295919,1
569,Q217839,1
570,Q82222,1
571,Q463184,1
572,Q544387,0
572,Q7297319,0
573,Q2298743,1
574,Q237527,1
575,Q125121,1
576,Q189758,1
577,Q144669,1
578,Q5950,1
579,Q276609,1
580,Q220707,1
581,Q356598,1
583,Q44570,1
584,Q178134,1
585,Q5921,1
586,Q918447,1
587,Q438106,1
588,Q358350,1
589,Q2846286,1
590,Q367447,1
591,Q1785,1
592,Q23848,1
593,Q736099,1
594,Q1364657,1
597,Q1545459,1
598,Q7738411,1
599,Q5383,1
601,Q7542,1
602,Q361881,1
603,Q223161,1
604,Q849299,1
605,Q214039,1
606,Q315107,1
607,Q192353,1
608,Q1412030,1
609,Q211588,1
610,Q93341,1
611,Q587705,1
612,Q205001,1
613,Q7346,1
614,Q142701,1
615,Q210428,1
616,Q553861,1
617,Q1052139,1
618,Q691568,1
619,Q300602,1
620,Q504464,1
621,Q1780979,1
622,Q319502,1
623,Q5134916,1
624,Q1416023,1
625,Q109612,1
626,Q4647458,1
627,Q1430158,1
629,Q312018,1
630,Q633,1
631,Q11898,1
632,Q578270,1
633,Q208797,1
635,Q641550,1
636,Q211337,1
637,Q183008,1
638,Q229465,1
639,Q223462,1
641,Q170697,1
642,Q919930,1
643,Q7036119,1
644,Q12349,1
646,Q211528,1
647,Q58975,1
648,Q606439,1
649,Q927853,1
650,Q5102037,1
651,Q785765,1
652,Q236047,1
654,Q2616634,1
655,Q220826,1
657,Q123471,1
659,Q1355807,1
660,Q42904,1
661,Q313453,1
662,Q1817405,1
663,Q60970,1
664,Q6373161,1
667,Q158124,1
668,Q437669,1
669,Q12007,1
670,Q228593,1
671,Q2985510,1
672,Q2393742,1
673,Q3556306,1
677,Q1647148,1
680,Q721992,1
681,Q41173,1
682,Q242437,1
683,Q215215,1
685,Q1573477,1
686,Q726076,1
687,Q909731,1
688,Q282714,1
689,Q217360,1
691,Q207938,1
692,Q274157,1
693,Q610377,1
694,Q295502,1
695,Q9064903,1
696,Q2529057,1
697,Q181484,1
698,Q1265451,1
699,Q231492,1
700,Q895897,1
701,Q34424,1
702,Q271119,1
703,Q869367,1
704,Q837300,1
705,Q290485,1
706,Q197738,1
707,Q15920,1
708,Q2085006,1
709,Q268160,1
710,Q727736,1
711,Q185343,1
712,Q50040,1
713,Q660834,1
714,Q738110,1
715,Q134969,1
716,Q192308,1
717,Q218255,1
718,Q42775,1
719,Q646036,1
720,Q976882,1
721,Q526885,1
722,Q77002,1
723,Q842415,1
724,Q133151,1
725,Q1808409,1
726,Q484421,1
727,Q646039,1
728,Q48187,1
729,Q1444497,1
730,Q189635,1
731,Q2328030,1
732,Q332032,1
733,Q1203,1
734,Q1225,1
735,Q11036,1
736,Q988845,1
737,Q1360643,1
739,Q524788,1
743,Q625917,1
744,Q247237,1
745,Q403873,1
746,Q1743088,0
746,Q3469687,0
746,Q7404024,0
746,Q12334373,0
747,Q2556934,1
748,Q722778,1
749,Q5048886,1
750,Q346565,1
751,Q3177718,1
752,Q893604,1
754,Q268007,1
755,Q254285,1
756,Q70730,1
757,Q766824,1
761,Q727394,1
762,Q12072688,1
763,Q1143745,1
764,Q197230,1
766,Q4493066,1
767,Q3776709,1
768,Q912581,1
769,Q1673988,1
770,Q163597,1
772,Q6056833,1
774,Q4044509,1
777,Q50975,1
778,Q4045652,1
779,Q494784,1
781,Q1392941,1
782,Q2658292,1
783,Q4037355,1
784,Q729067,1
785,Q128010,1
786,Q187832,1
787,Q202536,1
788,Q508962,1
789,Q188461,1
791,Q254023,1
792,Q171235,1
793,Q4235,1
794,Q157448,1
795,Q388035,1
796,Q4766903,1
797,Q188401,1
798,Q19845,1
800,Q208392,1
801,Q4031903,1
802,Q169461,1
803,Q24791,0
803,Q11199169,0
804,Q1166257,1
805,Q282855,1
806,Q257615,1
807,Q699004,1
808,Q246352,1
809,Q908712,1
810,Q654147,1
811,Q728064,1
812,Q157026,1
813,Q693583,1
814,Q672543,1
815,Q462709,1
816,Q300386,1
817,Q5172625,1
818,Q227525,1
819,Q782823,0
819,Q790261,0
820,Q540368,1
821,Q192863,1
823,Q537954,1
824,Q218178,1
825,Q1138974,1
826,Q1230689,1
827,Q1096157,1
828,Q328612,1
829,Q4041660,1
830,Q240703,1
831,Q1338795,1
832,Q1655211,1
833,Q2363519,1
834,Q749502,1
835,Q755127,1
837,Q75788,1
839,Q430581,1
840,Q1338793,1
841,Q131231,1
842,Q1198118,1
843,Q180880,1
844,Q3195087,1
845,Q1307025,1
846,Q207731,1
848,Q65159093,1
849,Q19244922,1
850,Q1588793,1
851,Q217025,1
852,Q1532854,1
853,Q1130493,1
854,Q484255,1
855,Q622947,1
856,Q174817,1
857,Q125603,1
858,Q219772,1
859,Q188464,1
860,Q329270,1
861,Q250421,1
862,Q666697,1
863,Q103550,1
864,Q425772,1
865,Q1417456,1
866,Q1281958,1
867,Q1051182,1
868,Q45354,1
869,Q1417587,1
870,Q1137836,1
871,Q1501951,1
872,Q1102538,1
873,Q932429,1
874,Q334648,1
875,Q180582,1
876,Q1473918,1
877,Q153926,1
878,Q672333,1
879,Q170132,1
880,Q580943,1
881,Q4991503,1
882,Q475227,1
883,Q761119,1
884,Q4354776,1
885,Q187814,1
