obj,super_obj
German,West Germanic
West Germanic,Germanic
German,South Germanic
South Germanic,West Germanic
painter,visual artist
visual artist,artist
visual artist,creative and performing artist
film actor,actor
actor,performing artist
actor,creative and performing artist
film actor,film people
film people,role
New York,short drink
short drink,cocktail
composing,process
process,activity
process,process
composing,artistic creation
artistic creation,animal behaviour
artistic creation,economic activity
artistic creation,creation
artistic creation,artistic activity
artistic creation,"creative, artistic and performing activities"
black metal,extreme metal
extreme metal,metal
electro,electronic dance music
electronic dance music,electronic music
electronic dance music,club/dance music
music critic,critic
critic,non-fiction writer
music critic,music journalist
music journalist,journalist
Neue Deutsche Todeskunst,dark wave
dark wave,post-punk
baritone,musical instrument
musical instrument,physical tool
musical instrument,sound generator
musical instrument,music equipment
electro,electronic body music
electronic body music,electronic dance music
electronic body music,post-industrial music
symphonic black metal,black metal
symphonic black metal,symphonic metal
symphonic metal,metal
medieval music,classical music
classical music,art music
medieval music,early music
early music,classical music
medieval music,music of Europe
music of Europe,regional music
experimental music,music
music,sound
techno,electronic dance music
voice,continuous-pitch instrument
continuous-pitch instrument,musical instrument
singer,musician
musician,artist
musician,agent
musician,Q109429537
singer,vocalist
vocalist,musician
singer,creative and performing artist
creative and performing artist,"legal, social and cultural professionals"
gothic metal,metal
metal,rock music
indie rock,alternative rock
alternative rock,rock music
alternative rock,alternative music
indie rock,independent music
independent music,music
metalcore,hardcore punk
hardcore punk,punk rock
metalcore,extreme metal
autobiographer,biographer
biographer,non-fiction writer
power noise,noise music
noise music,experimental music
power noise,post-industrial music
post-industrial music,industrial music
journalist,author
author,creator
journalist,media professional
media professional,professional
journalist,media profession
media profession,profession
media profession,occupation
journalist,"authors, journalists and linguists"
"authors, journalists and linguists","legal, social and cultural professionals"
shock rock,rock music
rock music,popular music
New York,serif typeface
serif typeface,typeface
industrial metal,post-industrial music
industrial metal,metal
voice,grammeme
grammeme,linguistic unit
art rock,rock music
Berlin,radar
radar,radio receiver
radar,transmitter
film director,visual artist
film director,film professional
film professional,media professional
film director,director
director,artist
director,manager
director,creator
film director,film crew member
film crew member,person
film crew member,media professional
German,doll
doll,perceptible physical object
doll,physical model
nu metal,alternative metal
alternative metal,alternative music
alternative metal,metal
Omaha,Omaha–Ponca
Omaha–Ponca,Dhegihan
Netherlands,name
name,signifier
name,identifier
name,word or phrase
opera,cultural institution
cultural institution,organization
cultural institution,institution
post-punk,rock music
post-punk,punk music
Elektra,table apple
table apple,apple
actor,person
person,individual
person,legal person
person,person or organization
actor,institution
institution,social structure
institution,person or organization
progressive metal,progressive music
progressive music,music
progressive metal,metal
gothic rock,alternative rock
gothic rock,post-punk
industrial music,experimental music
voice,vibration
vibration,periodic motion
artist,creator
agent,continuant
Q109429537,artist
Q109429537,agent
male,gendered
gendered,identity
gendered,gender system
glam rock,rock music
glam rock,glam music
glam music,popular music
neofolk,contemporary folk music
contemporary folk music,folk music
contemporary folk music,popular music
Suffolk,sheep
sheep,herbivore
sheep,ruminant
sheep,productive animal
sheep,domesticated mammal
electronica,electronic music
electronic music,music
lyricist,writer
writer,author
writer,artist
writer,penman
futurepop,electronic body music
futurepop,synth-pop
synth-pop,electronic pop
hard rock,rock music
guitarist,plucked instrument player
plucked instrument player,instrumentalist
actor,participant
participant,object
industrial rock,rock music
industrial rock,post-industrial music
alternative music,music
popular music,music
opera,classical music
opera,performing arts
performing arts,arts
opera,composed musical work
composed musical work,musical work
opera,theatre music
theatre music,score
opera,musical drama
musical drama,drama
musical drama,musical theater
musical drama,music
English,Anglic
Anglic,Anglo-Frisian
music education,pedagogy
pedagogy,education
pedagogy,Geisteswissenschaften
punk rock,rock music
punk rock,punk music
punk music,popular music
baritone,male singing voice
male singing voice,voice
baritone,medium voice
medium voice,voice
performing artist,artist
composer,author
composer,musician
pop music,popular music
Latin,Latino-Faliscan
Latino-Faliscan,Italic
Latin,Southern European language
Southern European language,language
bass guitar,guitar
guitar,plucked necked box lute
guitar,"long, thin object"
bass guitar,bass
bass,musical instrument
progressive rock,rock music
piano,keyboard instrument
keyboard instrument,musical instrument
piano,struck string instrument
struck string instrument,string instrument
piano,true board zithers with resonator box
true board zithers with resonator box,true board zithers with resonator
plucked necked box lute,plucked string instrument
plucked necked box lute,necked box lute
"long, thin object",physical object
voice,animal vocalization
animal vocalization,animal sound
saxophone,woodwind instrument
woodwind instrument,wind instrument
saxophone,single-reed instrument
single-reed instrument,reed aerophone
saxophone,single clarinets with conical bore
single clarinets with conical bore,individual reedpipes with single reeds
French,Oïl
Oïl,Gallo-Rhaetian
French,Southern European language
leftfield house,house music
house music,electronic dance music
leftfield house,leftfield electronic
leftfield electronic,electronic music
television actor,actor
lounge music,easy listening
easy listening,popular music
French,inhabitant
inhabitant,person
French,European people
European people,inhabitant
French,Western Europeans
Western Europeans,inhabitant
Western Europeans,European people
pedagogue,social scientist
social scientist,scientist
drum kit,percussion instrument
percussion instrument,musical instrument
drum kit,sets of double-skin cylindrical drums with single playing heads
sets of double-skin cylindrical drums with single playing heads,sets of double-skin cylindrical drums
Australians,inhabitant
Australians,Pacific Islanders
Pacific Islanders,inhabitant
Pacific Islanders,islanders
Chevalier des Arts et des Lettres,knight
knight,knight
knight,grade of an order
French,country dance
country dance,partner dance
country dance,social dance
French house,house music
ballet,choreographic work
choreographic work,performance work
choreographic work,dramatico-musical work
ballet,theatrical work
theatrical work,work of art
theatrical work,performance work
conductor,musician
conductor,performing artist
conductor,music director
music director,director
star on Hollywood Walk of Fame,award
award,artificial object
new wave,rock music
diarist,memoirist
memoirist,autobiographer
trip hop,downtempo
downtempo,chill-out music
pedagogue,tutor
tutor,educator
pedagogue,enslaved person
enslaved person,personal property
enslaved person,prisoner
enslaved person,product
Romantic music,classical music
dub music,popular music
new age music,popular music
conceptual artist,visual artist
country pop,pop music
country pop,country music
country music,popular music
country music,music of North America
conductor,railway worker
railway worker,transportation worker
Centenary Medal,Australian honours system
Australian honours system,award
Australian honours system,state decoration
voice actor,actor
dubtronica,electronica
choreographer,director
choreographer,dancers and choreographers
dancers and choreographers,creative and performing artist
art pop,pop music
chill-out music,electronic music
dance,activity
activity,process
conductor,material
material,product
material,substance
dance music,functional music
functional music,music
dance music,entertainment music
entertainment music,functional music
electronic rock,electronic music
electronic rock,rock music
film producer,film people
film producer,producer
producer,entrepreneur
producer,media professional
personal stylist,fashion person
fashion person,profession
fashion person,creator
Paradise,cocktail
cocktail,alcoholic beverage
cocktail,mixed drink
Limousin,North Occitan
North Occitan,Occitan
North Occitan,Arverno-Mediterrean
pop rock,rock music
pop rock,pop music
ballet,classical music
ballet,dance music
ballet,theatre music
pianist,keyboardist
keyboardist,instrumentalist
conductor,measurement
measurement,estimation
Limousin,cattle
cattle,domesticated mammal
dream pop,alternative rock
New Romantic,new wave
female,gendered
Mae West,cake
cake,torta
cake,bánh
cake,bakers' confection
songwriter,composer
songwriter,author
librettist,playwright
playwright,writer
dance,performing arts
dance,physical activity
physical activity,motion
physical activity,human activity
dance,creative work
creative work,intellectual work
soprano,female singing voice
female singing voice,voice
female singing voice,female voice
soprano,high voice
high voice,voice
ballet,performing arts
ballet,concert dance
concert dance,dance
ukulele,plucked necked box lute
Russian,East Slavic
East Slavic,Slavic
jazz,popular music
symphony,composed musical work
Grammy Award for Best Pop Vocal Album,award for best album (genre)
award for best album (genre),class of award
award for best album (genre),award for best album
San Francisco,display typeface
display typeface,typeface
San Francisco,sans-serif
sans-serif,typeface
director,analog computer
analog computer,computer
entrepreneur,senior management
senior management,managerial staff
senior management,group of humans
Queen,cooking apple
cooking apple,apple
cooking apple,food ingredient
recorder,recorder
recorder,judge
recorder,civil servant
performing arts,Performing arts
Performing arts,"creative, artistic and performing activities"
director,chief manager
chief manager,manager
director,leader of organization
leader of organization,executive
leader of organization,leader
dark cabaret,popular music
dark cabaret,cabaret
cabaret,musical theater
cabaret,kleinkunst
cabaret,variety
civil servant,bureaucrat
civil servant,official
civil servant,government employee
writer,graffiti artist
graffiti artist,street artist
graffiti artist,muralist
graffiti artist,visual artist
philanthropist,benefactor
benefactor,social activist
violinist,instrumentalist
instrumentalist,musician
disc jockey,musician
recorder,audio equipment
audio equipment,appliance
soul music,rhythm and blues
rhythm and blues,popular music
entrepreneur,businessperson
businessperson,business and administration professionals
manufacturer,provider
provider,economic agent
Essex,pig
pig,productive animal
pig,domesticated mammal
film industry,entertainment industry
entertainment industry,leisure industry
entertainment industry,media industry
Golden Raspberry Award for Worst Original Song,award for worst (...)
award for worst (...),class of award
tenore di grazia,tenor
tenor,singer
tenor,male singing voice
tenor,high voice
Knight of the Order of Polonia Restituta,knight
jazz musician,musician
experimental rock,rock music
experimental rock,experimental music
funk,popular music
arts,humanities
arts,group
Sire,style
style,honorific title
recorder,duct flute
duct flute,flute
recorder,open flutes with internal duct with fingerholes
open flutes with internal duct with fingerholes,open flutes with internal duct
electropop,electronic pop
electronic pop,electronic music
electronic pop,pop music
ambient music,popular music
tambourine,membranophones
membranophones,musical instrument
tambourine,single-skin frame drums without handle
single-skin frame drums without handle,frame drums without handle
model,information
information,knowledge
model,artificial object
artificial object,object
judge,jurist
judge,judicial officer
soft rock,pop rock
alternative dance,alternative rock
alternative dance,club/dance music
club/dance music,dance music
BRIT Awards,music award
music award,award
Georgia,serif typeface
rock opera,musical
musical,play
musical,audiovisual work
musical,performing arts production
musical,musical drama
rock opera,rock music
manager,leader of organization
creator,person
Maverick,armored personnel carrier
armored personnel carrier,armored car
adult contemporary music,pop music
MTV Europe Music Award for Best Artist,award for best artist
award for best artist,award
award for best artist,award for best professional (...)
Polish,chicken
chicken,poultry
chicken,productive animal
Grammy Award for Best Song Written for Visual Media,award for best song
award for best song,music award
award for best song,award for best work
model,fashion person
children's writer,writer
Europop,pop music
director,civil servant
Georgia,coffee
coffee,soft drink
coffee,stimulant foodstuff
coffee,non-alcoholic beverage
coffee,hot beverage
coffee,coffee drink
recording artist,musician
Essex,motor car
motor car,motor vehicle
motor car,road vehicle
motor car,multi-track vehicle
percussion instrument,heraldic musical instrument
heraldic musical instrument,artificial figure
dancer,performing artist
dancer,dancers and choreographers
model,mathematical model
mathematical model,scientific model
mathematical model,model
mathematical model,conceptual model
mathematical model,intellectual work
model,structure
structure,set
Kensington,publisher
publisher,media company
publisher,business
director,chief officer
chief officer,director
chief officer,business executive
director,sales and marketing managers
sales and marketing managers,"sales, marketing and development managers"
Queen,motor car
music industry,creative industries
creative industries,industrial sector
creative industries,industry
music industry,entertainment industry
Manchester,bomber biplane with 2 engines
bomber biplane with 2 engines,bomber with 2 engines
bomber biplane with 2 engines,bomber biplane
bomber biplane with 2 engines,biplane with 2 engines
blogger,author
blogger,digital creator
digital creator,creator
digital creator,content creator
blogger,poster
poster,author
poster,uploader
poster,Internet user
contemporary R&B,pop music
contemporary R&B,rhythm and blues
big beat,breakbeat
breakbeat,electronic dance music
Collaborative Arts Project 21,art project
art project,work of art
art project,cultural project
musical keyboard,musical instrument
musical keyboard,keyboard
keyboard,input device
keyboard,board
musical keyboard,musical instrument part
musical instrument part,part (piece)
musical instrument part,music equipment
Manchester,corduroy
corduroy,weft pile weave
Golden Raspberry Award for Worst Supporting Actress,award for worst (...)
tenor,classical singer
classical singer,singer
classical singer,classical musician
hip hop music,popular music
Academy Awards,film award
film award,award
film award,competition
film award,cultural prize
screenwriter,writer
photographer,visual artist
photographer,"artistic, cultural and culinary associate professionals"
"artistic, cultural and culinary associate professionals","legal, social, cultural and related associate professionals"
penman,writer
contralto,alto
alto,voice
alto,low voice
contralto,voice
contralto,female voice
female voice,voice
folk music,music
business and administration professionals,intellectual and scientific professionals
poet,writer
Christianity,Abrahamic religion
Abrahamic religion,monotheistic religion
American English,North American English
North American English,English
Polish,Lechitic
Lechitic,West Slavic
blues,popular music
blues,music of North America
music of North America,music of the Americas
Golden Globe Award,television award
television award,award
television award,cultural prize
Golden Globe Award,film award
MTV Video Music Award for Video of the Year,award for best work
award for best work,class of award
Malibu,sailboat
sailboat,boat
sailboat,wind-powered vehicle
Malibu,windsurf
windsurf,sports equipment
windsurf,watercraft
soundtrack,stage and screen
stage and screen,functional music
Commander of the Legion of Honour,commander
commander,military rank
commander,commander
commander,comendador
commander,grade of an order
world music,popular music
Madonna,table service
table service,tableware
table service,set of physical objects
electronic keyboard,keyboard instrument
electronic keyboard,electronic musical instrument
electronic musical instrument,musical instrument
electronic musical instrument,electrophone
electronic musical instrument,electronic instrument
Manhattan,whiskey cocktail
whiskey cocktail,cocktail
film score composer,composer
film score composer,film people
Grammy Award for Best Rock Performance by a Duo or Group with Vocal,award for best performance
award for best performance,award for best work
synthesizer,electronic musical instrument
instrumental rock,rock music
drum and bass,electronic dance music
Britpop,alternative rock
Britpop,pop rock
blues rock,rock music
laser harp,harp
harp,plucked string instrument
harp,composite chordophone
world music,music
psychedelic rock,rock music
psychedelic rock,psychedelic music
psychedelic music,popular music
Eurodance,electronic dance music
Eurodance,music of Europe
soundtrack,audio content
audio content,recorded information
marimba,mallet percussion instrument
mallet percussion instrument,percussion
mallet percussion instrument,percussion idiophones
acting,impersonation
impersonation,intentional human activity
ethnic electronica,electronica
Grammy Award for Best Traditional Pop Vocal Album,music award
Malibu,unclassified language
unclassified language,language
acting,interim
interim,condition
Toronto,Old Fashioned
Old Fashioned,whiskey cocktail
Croydon,carriage
carriage,horse-drawn vehicle
MTV Video Music Award for Best Pop Video,award for best work
Juno Award for International Album of the Year,award for best album (genre)
instrumental music,music
organ,anatomical structure
anatomical structure,material anatomical entity
anatomical structure,biological structure
organ,particular anatomical entity
particular anatomical entity,concrete object
Grammy Award for Best Pop Performance by a Duo or Group with Vocals,award for best performance
indie pop,pop music
indie pop,independent music
organ,organization
organization,social system
organization,group of humans
organization,person or organization
Madonna,religious work of art
religious work of art,work of art
Grammy Award for Best Female Pop Vocal Performance,award for best performance
organ,keyboard instrument
organ,building component
building component,component
building component,artificial physical object
personal computer,computer
computer,machine
computer,computing platform
computer,data terminal equipment
computer,IT system
computer,information processor
computer,computer file location
harmonica,sets of free reeds
sets of free reeds,free reeds
British English,English
violin,necked box lutes played with a bow
necked box lutes played with a bow,bowed string instrument
necked box lutes played with a bow,necked box lute
Slovak,Czech–Slovak languages
Czech–Slovak languages,West Slavic
heavy metal,chemical element
chemical element,matter
chemical element,chemical substance
chemical element,type of chemical entity
club,physical tool
physical tool,artificial physical object
physical tool,equipment
physical tool,tool
technical death metal,death metal
death metal,extreme metal
drummer,tambour
tambour,announcement
tambour,church attendance
tambour,percussionist
tambour,military musician
traditional heavy metal,heavy metal
heavy metal,metal
MTV Video Music Award for Best Concept Video,award for best work
jangle pop,alternative rock
jangle pop,pop rock
club,club
club,sports equipment
club,rhythmic gymnastics apparatus
rhythmic gymnastics apparatus,sports equipment
Grammy Award for Best Rock Instrumental Performance,award for best performance
sports equipment,durable good
sports equipment,equipment
Nirvana,nirvana
nirvana,salvation
trance,electronic dance music
doom metal,extreme metal
folk rock,rock music
folk rock,folk music
glam metal,hard rock
