obj,super_obj
romance film,film
film,audiovisual work
film,visual artwork
film,moving image
film,series
romance film,romantic fiction
romantic fiction,fiction
fantasy film,fantasy
fantasy,speculative/fantastic fiction
fantasy film,speculative/fantastic fiction film
speculative/fantastic fiction film,film
speculative/fantastic fiction film,speculative/fantastic fiction
comedy film,film
comedy film,comedy
comedy,work of art
action film,film
action film,action fiction
action fiction,fiction
sexploitation film,erotic film
erotic film,film
erotic film,erotica
sexploitation film,exploitation film
exploitation film,film
exploitation film,exploitation fiction
vigilante film,crime film
crime film,film
crime film,crime fiction
action comedy film,comedy film
action comedy film,action film
adventure film,film
adventure film,adventure fiction
adventure fiction,fiction
space opera,science fiction
science fiction,speculative/fantastic fiction
science fiction film,science fiction
science fiction film,speculative/fantastic fiction film
psychological thriller,thriller
thriller,fiction
psychological thriller,psychological fiction
psychological fiction,drama fiction
musical film,film
romantic comedy,comedy film
romantic comedy,romance film
crime fiction,fiction
drama,literature
literature,art
literature,set
drama,narrative
narrative,creative work
prostitution,sex work
sex work,sexual risk behavior
sex work,work
sex work,transactional sex
prostitution,sexual risk behavior
sexual risk behavior,human sexual behavior
sexual risk behavior,dangerous behavior
sexual risk behavior,sexuality
sexual risk behavior,health risk
magic realist film,film
Geshe,academic degree
academic degree,academic title
melodrama,drama
melodrama,drama fiction
drama fiction,fiction
melodrama,drama film
drama film,film
drama film,drama fiction
melodrama,melodrama
erotic thriller,erotica
erotica,work of art
erotic thriller,thriller
thriller film,film
thriller film,thriller
Boomerang,object from The Legend of Zelda
object from The Legend of Zelda,fictional object
object from The Legend of Zelda,entity from The Legend of Zelda
Boomerang,fictional weapon
fictional weapon,fictional object
Boomerang,unmanned aerial vehicle
unmanned aerial vehicle,aircraft
unmanned aerial vehicle,unmanned vehicle
film based on a novel,film based on literature
film based on literature,film adaptation
female buddy film,buddy film
buddy film,film
female buddy film,woman's film
woman's film,film
hood film,crime film
docudrama,documentary
documentary,nonfiction
documentary,audiovisual work
docudrama,drama fiction
biographical film,film
biographical film,biographical work
biographical work,nonfiction
Boomerang,shuttle roller coaster
shuttle roller coaster,roller coaster
Boomerang,steel roller coaster
steel roller coaster,roller coaster
documentary film,documentary
documentary film,non-fiction film
non-fiction film,film
non-fiction film,nonfiction
Hamburg,chicken
chicken,poultry
